"('mid',)","('genre',)"
tt0025028,Musical
tt0025037,Drama
tt0025037,Fantasy
tt0025037,Romance
tt0025091,Drama
tt0025091,Mystery
tt0025091,Romance
tt0025101,Comedy
tt0025101,Drama
tt0025101,Musical
tt0025129,Crime
tt0025129,Mystery
tt0025129,Romance
tt0025132,Comedy
tt0025132,Drama
tt0025132,Romance
tt0025161,Drama
tt0025161,Mystery
tt0025164,Comedy
tt0025164,Musical
tt0025164,Romance
tt0025173,Comedy
tt0025173,Drama
tt0025173,Romance
tt0025272,Biography
tt0025272,Drama
tt0025272,History
tt0025273,Drama
tt0025273,Romance
tt0025301,Drama
tt0025301,Romance
tt0025316,Comedy
tt0025316,Romance
tt0025318,Comedy
tt0025330,Comedy
tt0025330,Crime
tt0025330,Drama
tt0025335,Comedy
tt0025335,Drama
tt0025335,Romance
tt0025397,Drama
tt0025397,Fantasy
tt0025410,Adventure
tt0025410,Comedy
tt0025410,Drama
tt0025423,Action
tt0025423,Adventure
tt0025423,Drama
tt0025440,Action
tt0025440,Adventure
tt0025440,Romance
tt0025452,Crime
tt0025452,Mystery
tt0025452,Thriller
tt0025455,Western
tt0025456,Documentary
tt0025464,Crime
tt0025464,Drama
tt0025464,Romance
tt0025465,Horror
tt0025465,Sci-Fi
tt0025493,Comedy
tt0025493,Musical
tt0025493,Romance
tt0025536,Comedy
tt0025536,Musical
tt0025536,Romance
tt0025586,Drama
tt0025586,Romance
tt0025607,Drama
tt0025607,History
tt0025607,Musical
tt0025610,Drama
tt0025610,Romance
tt0025617,Drama
tt0025617,Romance
tt0025699,Action
tt0025699,Mystery
tt0025699,Romance
tt0025740,Drama
tt0025740,Romance
tt0025746,Drama
tt0025746,History
tt0025746,Romance
tt0025748,Adventure
tt0025748,Drama
tt0025830,Action
tt0025830,Mystery
tt0025830,Romance
tt0025862,Action
tt0025862,Adventure
tt0025862,Romance
tt0025878,Comedy
tt0025878,Mystery
tt0025898,Crime
tt0025898,Drama
tt0025898,Romance
tt0025907,Adventure
tt0025907,Family
tt0025913,Documentary
tt0025913,History
tt0025919,Comedy
tt0025919,Romance
tt0025929,Drama
tt0025948,Western
tt0026017,Comedy
tt0026029,Crime
tt0026029,Mystery
tt0026029,Thriller
tt0026056,Comedy
tt0026056,Drama
tt0026056,Romance
tt0026071,Drama
tt0026071,Romance
tt0026073,Western
tt0026097,Adventure
tt0026097,Drama
tt0026097,Romance
tt0026104,Drama
tt0026104,Romance
tt0026104,War
tt0026123,Horror
tt0026126,Comedy
tt0026129,Crime
tt0026129,Drama
tt0026138,Drama
tt0026138,Horror
tt0026138,Sci-Fi
tt0026144,Musical
tt0026144,Romance
tt0026164,Adventure
tt0026164,Drama
tt0026164,Family
tt0026174,Action
tt0026174,Adventure
tt0026174,History
tt0026197,Crime
tt0026197,Drama
tt0026197,Mystery
tt0026198,Crime
tt0026198,Drama
tt0026198,Mystery
tt0026199,Crime
tt0026199,Drama
tt0026199,Mystery
tt0026205,Action
tt0026205,Adventure
tt0026205,Drama
tt0026246,Crime
tt0026246,Drama
tt0026249,Adventure
tt0026249,Drama
tt0026249,History
tt0026252,Family
tt0026252,Musical
tt0026252,Romance
tt0026261,Drama
tt0026261,Romance
tt0026266,Adventure
tt0026266,Drama
tt0026266,Family
tt0026267,Western
tt0026276,Comedy
tt0026276,Drama
tt0026276,Romance
tt0026388,Comedy
tt0026388,Romance
tt0026393,Crime
tt0026393,Drama
tt0026393,Film-Noir
tt0026406,Comedy
tt0026406,Fantasy
tt0026406,Horror
tt0026413,Drama
tt0026421,Comedy
tt0026421,Musical
tt0026424,Comedy
tt0026424,Romance
tt0026452,Comedy
tt0026452,Romance
tt0026519,Comedy
tt0026519,Romance
tt0026529,Crime
tt0026529,Drama
tt0026564,Comedy
tt0026564,History
tt0026564,Romance
tt0026605,Adventure
tt0026605,Drama
tt0026641,Comedy
tt0026641,Drama
tt0026641,Family
tt0026643,Adventure
tt0026643,Drama
tt0026643,War
tt0026663,Horror
tt0026663,Romance
tt0026663,Sci-Fi
tt0026676,Comedy
tt0026685,Horror
tt0026685,Mystery
tt0026714,Comedy
tt0026714,Fantasy
tt0026714,Romance
tt0026725,Drama
tt0026725,History
tt0026725,Romance
tt0026739,Crime
tt0026739,Drama
tt0026739,Mystery
tt0026752,Adventure
tt0026752,Biography
tt0026752,Drama
tt0026768,Drama
tt0026768,Musical
tt0026768,Romance
tt0026778,Comedy
tt0026778,Music
tt0026778,Musical
tt0026840,Comedy
tt0026840,Romance
tt0026866,Drama
